,チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
0,西武,.264,143,5445,4792,690,1264,236,28,153,2015,660,129,40,93,45,457,4,58,1029,95,.420,.332
1,ソフトバンク,.259,143,5382,4671,638,1208,202,32,164,1966,613,73,47,156,31,488,16,36,1019,78,.421,.331
2,楽天,.254,143,5452,4812,585,1221,214,18,135,1876,553,42,27,105,22,473,10,40,1018,107,.390,.324
3,オリックス,.251,143,5411,4770,539,1197,190,23,127,1814,519,33,23,149,26,409,6,57,1032,105,.380,.316
4,日本ハム,.242,143,5385,4749,509,1147,189,18,108,1696,482,86,27,103,28,468,2,37,1122,95,.357,.313
5,ロッテ,.233,143,5286,4718,479,1098,215,29,95,1656,455,78,24,98,26,387,8,57,1099,85,.351,.297
