,チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
0,西武,.265,143,5619,4898,756,1299,229,23,174,2096,718,134,49,78,38,556,23,49,1083,88,.428,.344
1,日本ハム,.251,143,5428,4778,560,1200,211,28,93,1746,532,48,25,78,33,496,18,43,1044,106,.365,.325
2,ソフトバンク,.251,143,5345,4775,582,1199,172,19,183,1958,559,113,49,100,30,397,21,43,1084,85,.410,.312
3,楽天,.251,143,5506,4766,614,1196,195,22,141,1858,589,48,38,98,35,539,19,68,1127,114,.390,.333
4,ロッテ,.249,143,5503,4789,642,1194,214,21,158,1924,613,75,35,92,29,505,12,87,1013,99,.402,.330
5,オリックス,.242,143,5391,4774,544,1153,181,22,102,1684,516,122,59,101,33,417,17,66,1030,85,.353,.309
