,チーム,打率,試合,打席,打数,得点,安打,二塁打,三塁打,本塁打,塁打,打点,盗塁,盗塁刺,犠打,犠飛,四球,故意四,死球,三振,併殺打,長打率,出塁率
0,楽天,.258,120,4628,3990,557,1029,190,23,112,1601,534,67,30,87,30,473,9,48,918,87,.401,.341
1,日本ハム,.249,120,4560,3952,493,986,153,17,89,1440,472,80,23,85,31,460,9,32,878,86,.364,.330
2,ソフトバンク,.249,120,4480,3933,531,979,165,28,126,1578,500,99,32,81,34,398,13,34,851,50,.401,.321
3,オリックス,.247,120,4467,3947,442,975,166,19,90,1449,422,95,39,89,21,361,20,49,811,86,.367,.316
4,西武,.238,120,4440,3898,479,926,161,24,107,1456,459,85,40,60,27,411,10,44,956,74,.374,.315
5,ロッテ,.235,120,4505,3840,461,902,171,11,90,1365,435,87,32,96,19,491,16,58,954,80,.355,.329
